nome,url
Western Digital Black 2TB SN850P,https://meupc.net/peca/jTZfME/ssd-western-digital-sn850p-black-2tb-sn850p
Kingston NV3 1TB,https://meupc.net/peca/HOeL4x/ssd-kingston-nv3-nv3-1tb
Kingston NV2 500GB,https://meupc.net/peca/A62Rhn/ssd-kingston-nv2-nv2500gb
Kingston NV3 2TB,https://meupc.net/peca/Kgd85A/ssd-kingston-nv3-nv3-2tb
Kingston NV2 1TB,https://meupc.net/peca/btX3J5/ssd-kingston-nv2-nv21tb
SanDisk 500GB SanDisk Plus,https://meupc.net/peca/nXsTek/ssd-sandisk-plus-500gb-sandisk-plus
Gigabyte AI TOP 100E 2TB,https://meupc.net/peca/Pz2HvC/ssd-gigabyte-ai-top-ai-top-100e-2tb
Kingston NV3 500 GB,https://meupc.net/peca/g4FGtq/ssd-kingston-nv3-nv3-500-gb
ADATA Legend 710 512GB,https://meupc.net/peca/bsf892/ssd-adata-710-series-legend710512gb
Kingston Fury Renegade 1TB,https://meupc.net/peca/wN7V4o/ssd-kingston-fury-renegade-furyrenegade1tb
SanDisk SSD 1TB Plus,https://meupc.net/peca/9RS4Uq/ssd-sandisk-ssd-plus-ssd-1tb-plus
Kingston SA400S37/240G,https://meupc.net/peca/8at35N/ssd-seagate-surveillance-hdd-sa400s37240g
Lexar NM620 512 GB,https://meupc.net/peca/be34MF/ssd-lexar-nm620-nm620-512-gb
Seagate ST1000DM003,https://meupc.net/peca/bwTtzk/hdd-seagate-desktop-hdd-st1000dm003
Kingston A400 480GB,https://meupc.net/peca/kwi558/ssd-kingston-a400-a400480gb
Kingston Fury Renegade 2TB,https://meupc.net/peca/uUTT28/ssd-kingston-fury-renegade-furyrenegade2tb
SanDisk Plus 1TB,https://meupc.net/peca/bDS3i5/ssd-sandisk-plus-plus1tb
Corsair MP700 PRO SE 4 TB,https://meupc.net/peca/Z83LhH/ssd-corsair-mp700-mp700-pro-se-4-tb
Corsair MP600 PRO XT 8TB,https://meupc.net/peca/bm5Wz4/ssd-corsair-mp600-pro-xt-mp600proxt8tb
