nome,preco,especificacoes,imagem,url
"Armazenamento Colorful SSD SL500 2.5""","R$ 847,00
10x de R$ 84,70","Add na build
Especificações
Fabricante Colorful
Modelo SL500 2TB
PN
SL500-2TB
Série SL500
Capacidade 2 TB
Leitura 520 MB/s
Gravação 500 MB/s
Tipo SSD
Interface SATA 6 Gb/s
Formato 2.5""
Cache
RPM
NVMe
Híbrido
IntelliPower
Externo
Preços
Loja Frete Preço Preço PIX
R$ 847,00
10x de R$ 84,70 R$ 719,99
Comprar
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/htx3BM/ssd-colorful-sl500-sl500-2tb
Armazenamento Kingston SSD NV3 M.2-2280,"R$ 499,90
10x de R$ 49,99","Add na build
Especificações
Fabricante Kingston
Modelo NV3 1TB
PN
SNV3S/1000G
Série NV3
Capacidade 1 TB
Leitura 6000 MB/s
Gravação 4000 MB/s
Tipo SSD
Interface M.2 PCIe 4.0 X4
Formato M.2-2280
Cache
RPM
NVMe
Híbrido
IntelliPower
Externo
Preços
Loja Frete Preço Preço PIX
R$ 499,90
10x de R$ 49,99 R$ 424,99
Comprar
R$ 503,41
12x de R$ 41,95 R$ 427,90
Comprar
Grátis R$ 429,00
1x de R$ 429,00 R$ 429,00
Comprar
R$ 529,40
12x de R$ 44,12 R$ 449,99
Comprar
R$ 639,84
12x de R$ 53,32 R$ 543,86
Comprar

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/HOeL4x/ssd-kingston-nv3-nv3-1tb
Armazenamento Kingston SSD NV2 M.2-2280,"R$ 341,16
12x de R$ 28,43","Add na build
Especificações
Fabricante Kingston
Modelo NV2 500GB
PN
SNV2S/500G
Série NV2
Capacidade 500 GB
Leitura 3500 MB/s
Gravação 2100 MB/s
Tipo SSD
Interface M.2 PCIe 3.0 X4
Formato M.2-2280
Cache
RPM
NVMe
Híbrido
IntelliPower
Externo
Preços
Loja Frete Preço Preço PIX
R$ 341,16
12x de R$ 28,43 R$ 289,99
Comprar
Grátis R$ 297,49
1x de R$ 297,49 R$ 297,49
Comprar

Ir à loja

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://static.meupc.net/produto/ssd-kingston-nv2-nv2500gb-boIQ78-L.jpg,https://meupc.net/peca/A62Rhn/ssd-kingston-nv2-nv2500gb
Armazenamento Kingston SSD NV3 M.2-2280,"R$ 823,41
12x de R$ 68,62","Add na build
Especificações
Fabricante Kingston
Modelo NV3 2TB
PN
SNV3S/2000G
Série NV3
Capacidade 2 TB
Leitura 6000 MB/s
Gravação 5000 MB/s
Tipo SSD
Interface M.2 PCIe 4.0 X4
Formato M.2-2280
Cache
RPM
NVMe
Híbrido
IntelliPower
Externo
Preços
Loja Frete Preço Preço PIX
R$ 823,41
12x de R$ 68,62 R$ 699,90
Comprar
Grátis R$ 819,00
1x de R$ 819,00 R$ 819,00
Comprar
R$ 1.117,60
10x de R$ 111,76 R$ 949,99
Comprar
R$ 1.117,64
12x de R$ 93,14 R$ 949,99
Comprar
R$ 1.411,00
12x de R$ 117,58 R$ 1.199,35
Comprar

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://static.meupc.net/produto/ssd-kingston-nv3-nv3-2tb-D6LZ4o-L.jpg,https://meupc.net/peca/Kgd85A/ssd-kingston-nv3-nv3-2tb
Armazenamento Kingston SSD NV2 M.2-2280,"R$ 409,90
1x de R$ 409,90","Add na build
Especificações
Fabricante Kingston
Modelo NV2 1TB
PN
SNV2S/1000G
Série NV2
Capacidade 1 TB
Leitura 3500 MB/s
Gravação 2100 MB/s
Tipo SSD
Interface M.2 PCIe 3.0 X4
Formato M.2-2280
Cache
RPM
NVMe
Híbrido
IntelliPower
Externo
Preços
Loja Frete Preço Preço PIX
R$ 409,90
1x de R$ 409,90 R$ 409,90
(Última atualização há 2 h)
Comprar
Grátis R$ 439,99
1x de R$ 439,99 R$ 439,99
Comprar

Ir à loja

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
vannotz · há 11 meses
Esse é PCIe 4.0
[3] Curtir
Responder
Felipe_Pc1 · há 2 anos
Qual a cor do ssd?
[2] Curtir
Responder
Pablloxds · há 2 anos
pela foto, acho que e azul padrão mesmo
[2] Curtir
Responder
Felipe_Pc1 · há 2 anos
Obrigado
[2] Curtir
Responder
PCGAMERRRR · há 2 anos
Ele tem dram???
[2] Curtir
Responder
Azura · ano passado
não
[2] Curtir
Responder
Fera · há 7 meses
Pelo que verifiquei, não faz muuuita diferença. A não ser que, realmente, você use o drive intensivamente nas leituras e gravações com grandes arquivos.
[1] Curtir
Responder
Chuvinhaz · há 7 meses
Para quem comprar, lembrem que é M.2 PCIe 4.0 X4;
[1] Curtir
Responder",https://static.meupc.net/produto/ssd-kingston-nv2-nv21tb-kY8LV4-L.jpg,https://meupc.net/peca/btX3J5/ssd-kingston-nv2-nv21tb
Armazenamento SanDisk SSD Plus M.2-2280,"R$ 279,88
12x de R$ 23,32","Add na build
Especificações
Fabricante SanDisk
Modelo 500GB SanDisk Plus
PN
SDSSDA3N-500G-G26
Série Plus
Capacidade 500 GB
Leitura 2400 MB/s
Gravação 2400 MB/s
Tipo SSD
Interface M.2 PCIe 3.0 X4
Formato M.2-2280
Cache
RPM
NVMe
Híbrido
IntelliPower
Externo
Preços
Loja Frete Preço Preço PIX
R$ 279,88
12x de R$ 23,32 R$ 237,90
Comprar
Grátis R$ 251,00
1x de R$ 251,00 R$ 251,00
Comprar
R$ 313,00
1x de R$ 313,00 R$ 313,00
(Última atualização há 2 h)
Comprar

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/nXsTek/ssd-sandisk-plus-500gb-sandisk-plus
Armazenamento Gigabyte SSD AI TOP M.2-2280,"R$ 39.411,65
12x de R$ 3.284,30","Add na build
Especificações
Fabricante Gigabyte
Modelo AI TOP 100E 2TB
PN
AI100E2TB
Série AI TOP
Capacidade 2 TB
Leitura 7000 MB/s
Gravação 5900 MB/s
Tipo SSD
Interface M.2 PCIe 4.0 X4
Formato M.2-2280
Cache
RPM
NVMe
Híbrido
IntelliPower
Externo
Preços
Loja Frete Preço Preço PIX
R$ 39.411,65
12x de R$ 3.284,30 R$ 33.499,90
Comprar
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://meupc.net/images/loja/logo-terabyte.png?v=469876829220386552,https://meupc.net/peca/Pz2HvC/ssd-gigabyte-ai-top-ai-top-100e-2tb
Armazenamento Kingston SSD NV3 M.2-2280,"R$ 350,47
12x de R$ 29,21","Add na build
Especificações
Fabricante Kingston
Modelo NV3 500 GB
PN
SNV3S/500G
Série NV3
Capacidade 500 GB
Leitura 5000 MB/s
Gravação 3000 MB/s
Tipo SSD
Interface M.2 PCIe 4.0 X4
Formato M.2-2280
Cache
RPM
NVMe
Híbrido
IntelliPower
Externo
Preços
Loja Frete Preço Preço PIX
R$ 350,47
12x de R$ 29,21 R$ 297,90
Comprar
R$ 364,60
10x de R$ 36,46 R$ 309,99
Comprar
R$ 376,46
12x de R$ 31,37 R$ 319,99
Comprar
R$ 423,00
12x de R$ 35,25 R$ 359,55
Comprar

Ir à loja

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/g4FGtq/ssd-kingston-nv3-nv3-500-gb
Armazenamento ADATA SSD 710 Series M.2-2280,"R$ 317,53
12x de R$ 26,46","Add na build
Especificações
Fabricante ADATA
Modelo Legend 710 512GB
PN
ALEG-710-512GCS
Série 710 Series
Capacidade 512 GB
Leitura 2400 MB/s
Gravação 1800 MB/s
Tipo SSD
Interface M.2 PCIe 3.0 X4
Formato M.2-2280
Cache
RPM
NVMe
Híbrido
IntelliPower
Externo
Preços
Loja Frete Preço Preço PIX
R$ 317,53
12x de R$ 26,46 R$ 269,90
Comprar
R$ 274,99
1x de R$ 274,99 R$ 274,99
(Última atualização há 2 h)
Comprar
R$ 329,40
12x de R$ 27,45 R$ 279,99
Comprar
Grátis R$ 280,00
1x de R$ 280,00 R$ 280,00
Comprar
R$ 335,20
10x de R$ 33,52 R$ 284,99
Comprar

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://static.meupc.net/produto/ssd-adata-710-series-legend710512gb-xGQd36-L.jpg,https://meupc.net/peca/bsf892/ssd-adata-710-series-legend710512gb
Armazenamento Kingston SSD Fury Renegade M.2-2280,"R$ 729,00
1x de R$ 729,00","Add na build
Especificações
Fabricante Kingston
Modelo Fury Renegade 1TB
PN
SFYRS/1000G
Série Fury Renegade
Capacidade 1 TB
Leitura 7300 MB/s
Gravação 6000 MB/s
Tipo SSD
Interface M.2 PCIe 3.0 X4
Formato M.2-2280
Cache
RPM
NVMe
Híbrido
IntelliPower
Externo
Preços
Loja Frete Preço Preço PIX
Grátis R$ 729,00
1x de R$ 729,00 R$ 729,00
Comprar
R$ 1.152,93
12x de R$ 96,08 R$ 979,99
Comprar
R$ 1.041,30
1x de R$ 1.041,30 R$ 1.041,30
Comprar

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/wN7V4o/ssd-kingston-fury-renegade-furyrenegade1tb
