nome,url
Asus ROG THOR GAMING 1200W,https://meupc.net/peca/PN7pT5/fonte-asus-rogthorgaming1200w
MSI MAG A650BN,https://meupc.net/peca/rI3w7j/fonte-msi-maga650bn
MSI MAG A850GL 850W,https://meupc.net/peca/yAir95/fonte-msi-mag-maga850gl850w
Duex DX 500W,https://meupc.net/peca/oZ6HH2/fonte-duex-dx500w
MSI MAG A650BN 650W,https://meupc.net/peca/M7DF2o/fonte-msi-maga650bn650w
Corsair CX750,https://meupc.net/peca/74QLuS/fonte-corsair-cx
Gamemax 600W,https://meupc.net/peca/cU63BA/fonte-gamemax-600w
Corsair CX650,https://meupc.net/peca/CHxqiP/fonte-corsair-cx
MSI MAG A600DN,https://meupc.net/peca/ix97j5/fonte-msi-maga600dn
XPG Kyber 850W,https://meupc.net/peca/z8vQ3y/fonte-xpg-kyber850w
Mancer MCR-THR500-BL01,https://meupc.net/peca/tsi1VA/fonte-mancer-thunder
XPG Core Reactor II 850G-BKCBR,https://meupc.net/peca/dcyWvg/fonte-xpg-core-reactor-ii
MSI MAG A650GL 650W,https://meupc.net/peca/tn44Kf/fonte-msi-mag-maga650gl650w
Gamdias Cyclops M1-550B,https://meupc.net/peca/YSluIB/fonte-gamdias-cyclops-m1
Corsair AX1200i,https://meupc.net/peca/cLkNv3/fonte-corsair-axi-ax1200i
Corsair RM750x,https://meupc.net/peca/cY37kG/fonte-corsair-rmx-rm750x
Duex DX 500FSE+ 500W,https://meupc.net/peca/YW9DBK/fonte-duex-white-series
Asus ROG THOR 1600W,https://meupc.net/peca/T9Bwd5/fonte-asus-thor-rogthor1600w
Rise Mode Zeus 850W,https://meupc.net/peca/IQBcTg/fonte-rise-mode-zeus
Redragon 400W,https://meupc.net/peca/xp8o7u/fonte-redragon-400w
Gamdias Kratos E1,https://meupc.net/peca/q3Xwf3/fonte-gamdias-kratos-e1-kratose1
Redragon RGPS,https://meupc.net/peca/NJn83C/fonte-redragon-rgps-rgps
XPG Core Reactor II VE 750W,https://meupc.net/peca/POlH29/fonte-xpg-core-reactor-ii
Corsair CV550,https://meupc.net/peca/Wt7f4z/fonte-corsair-cv-cv550550w80plusbronze
Corsair RM850 850W,https://meupc.net/peca/suRSbh/fonte-corsair-rm
Rise Mode Zeus 1000W,https://meupc.net/peca/Su6YGW/fonte-rise-mode-zeus
Gamemax GX 750W,https://meupc.net/peca/Mfg685/fonte-gamemax-gamemax-gx-gx750w
Corsair RM1000X,https://meupc.net/peca/haac4f/fonte-corsair-rmx-rm1000x
Fortrek Crusader,https://meupc.net/peca/y85wbC/fonte-fortrek-crusader
Fortrek Black Hawk 500W,https://meupc.net/peca/AHW32k/fonte-fortrek-blackhawk500w
Gamemax GP750,https://meupc.net/peca/Q5P5BP/fonte-gamemax-gp-gp750
Gamemax GX PRO Branco 850W,https://meupc.net/peca/EmsJ32/fonte-gamemax-gx-pro-gxprobranco850w
Duex DX600FSE,https://meupc.net/peca/m2rMTG/fonte-duex-dx
Pichau PG-NDL650-01BR,https://meupc.net/peca/gapQkL/fonte-pichau-nidus
XPG Core Reactor II VE 650W,https://meupc.net/peca/HMthWM/fonte-xpg-core-reactor-ii
Redragon RGPS,https://meupc.net/peca/As5Td4/fonte-redragon-rgps-rgps
KBM! GAMING FN850W,https://meupc.net/peca/QJnWRi/fonte-kbm-gaming-fn
MSI A1000G PCIE5,https://meupc.net/peca/KrtalL/fonte-msi-mpg
Corsair HX1500i,https://meupc.net/peca/7GQQK2/fonte-corsair-hxi-hx1500i
Corsair SF1000L 1000W,https://meupc.net/peca/7wAtTw/fonte-corsair-sf
Gamemax GX700,https://meupc.net/peca/JNNG28/fonte-gamemax-gx700
Acer AC550 550W,https://meupc.net/peca/aF7mqY/fonte-acer-emachines
AeroCool KCAS,https://meupc.net/peca/vF32Rf/fonte-aerocool-mwe-white-series-kcas
Asus TUF Gaming 850W,https://meupc.net/peca/vS2FD2/fonte-asus-tuf-gaming-tufgaming850w
NZXT 750W,https://meupc.net/peca/B9yh7Y/fonte-nzxt-c-series-750w
Fortrek BLU350-E V2 350W,https://meupc.net/peca/D4CB8n/fonte-fortrek-blu350ev2350w
Corsair RM750,https://meupc.net/peca/dvMUSL/fonte-corsair-rm-rm750x
Asus ROG THOR 1200P2 1200W,https://meupc.net/peca/gRf28p/fonte-asus-thor-rogthor1200p21200w
MSI MAG A750GL 750W,https://meupc.net/peca/sA9vE9/fonte-msi-mag-maga750gl750w
XPG Core Reactor,https://meupc.net/peca/R2NHW9/fonte-xpg-corereactor750gbkcbr
Cooler Master MWE Bronze V2 Full Range 750W,https://meupc.net/peca/xB4F8P/fonte-cooler-master-mwe-bronze-series-mwebronzev2fullrange750w
