nome,preco,especificacoes,imagem,url
Fonte NZXT 750W 750 W Certificado 80+ Bronze Semi ATX12V,"R$ 599,90
10x de R$ 59,99","Add na build
Especificações
Fabricante NZXT
Modelo 750W
PN
PA-7G1BB-US
Série C Series
Tipo ATX12V
Potência 750 W
Fanless
Modular Semi
Certificado de eficiência 80+ Bronze
Eficiência 83.2 %
Saída
Conectores EPS 2
Conectores SATA 4
Conectores MOLEX 0
Conectores PCI-E de 6 pinos 0
Conectores PCI-E de 6+2 pinos 2
Comprimento 150 mm
Peso
Preços
Loja Frete Preço Preço PIX
R$ 599,90
10x de R$ 59,99 R$ 509,99
Comprar
R$ 764,59
12x de R$ 63,72 R$ 649,90
Comprar
R$ 999,90
1x de R$ 999,90 R$ 999,90
(Última atualização há 2 h)
Comprar
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://static.meupc.net/produto/fonte-nzxt-c-series-750w-c55Mex-L.jpg,https://meupc.net/peca/B9yh7Y/fonte-nzxt-c-series-750w
Fonte MSI MAG A650BN 650 W Certificado 80+ Bronze ATX12V,"R$ 363,60
10x de R$ 36,36","Add na build
Especificações
Fabricante MSI
Modelo MAG A650BN
PN
306-7ZP2B22-CE0
Série
Tipo ATX12V
Potência 650 W
Fanless
Modular Não
Certificado de eficiência 80+ Bronze
Eficiência 85 %
Saída
Conectores EPS 1
Conectores SATA 5
Conectores MOLEX 2
Conectores PCI-E de 6 pinos 0
Conectores PCI-E de 6+2 pinos 2
Comprimento 150 mm
Peso
Preços
Loja Frete Preço Preço PIX
R$ 363,60
10x de R$ 36,36 R$ 319,99
Comprar
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Plutonyta · há 9 meses
O melhor custo benefício
[4] Curtir
Responder
RafaelLP · há 4 meses
O famoso CXB, o Custo Benefício que é bom mesmo!
[3] Curtir
Responder",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/rI3w7j/fonte-msi-maga650bn
Fonte MSI MAG A850GL 850W 850 W Certificado 80+ Gold Full-Modular ATX12V,"R$ 882,24
12x de R$ 73,52","Add na build
Especificações
Fabricante MSI
Modelo MAG A850GL 850W
PN
MAG A850GL
Série MAG
Tipo ATX12V
Potência 850 W
Fanless
Modular Full
Certificado de eficiência 80+ Gold
Eficiência 90 %
Saída
Conectores EPS 2
Conectores SATA 8
Conectores MOLEX 4
Conectores PCI-E de 6 pinos 0
Conectores PCI-E de 6+2 pinos 4
Comprimento 150 mm
Peso
Preços
Loja Frete Preço Preço PIX
R$ 882,24
12x de R$ 73,52 R$ 749,90
Comprar
R$ 1.065,93
1x de R$ 1.065,93 R$ 1.065,93
(Última atualização há 2 h)
Comprar

Ir à loja

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/yAir95/fonte-msi-mag-maga850gl850w
Fonte Duex DX 500W 500 W Certificado 80+ Bronze Full-Modular ATX12V,"R$ 141,06
7x de R$ 20,15","Add na build
Especificações
Fabricante Duex
Modelo DX 500W
PN
DX 500FSE++
Série
Tipo ATX12V
Potência 500 W
Fanless
Modular Full
Certificado de eficiência 80+ Bronze
Eficiência
Saída
Conectores EPS 0
Conectores SATA 4
Conectores MOLEX 2
Conectores PCI-E de 6 pinos 0
Conectores PCI-E de 6+2 pinos 2
Comprimento
Peso
Preços
Loja Frete Preço Preço PIX
R$ 141,06
7x de R$ 20,15 R$ 119,90
Comprar
Grátis R$ 237,82
1x de R$ 237,82 R$ 237,82
Comprar

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Bmra · semana passada
Quem comprar merece uma pisa
[1] Curtir
Responder
ian_03022013 · anteontem
porque
[1] Curtir
Responder
Bmra · há 23 h
Bomba pura. Passou dos 3 meses da loja ela quebra, e pode até levar a placa mãe junto.
[1] Curtir
Responder",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/oZ6HH2/fonte-duex-dx500w
Fonte MSI MAG A650BN 650W 650 W Certificado 80+ Bronze Full-Modular ATX12V,"R$ 479,00
1x de R$ 479,00","Add na build
Especificações
Fabricante MSI
Modelo MAG A650BN 650W
PN
A650BN
Série
Tipo ATX12V
Potência 650 W
Fanless
Modular Full
Certificado de eficiência 80+ Bronze
Eficiência 90 %
Saída
Conectores EPS 1
Conectores SATA 5
Conectores MOLEX 2
Conectores PCI-E de 6 pinos 0
Conectores PCI-E de 6+2 pinos 6
Comprimento 150 mm
Peso
Preços
Loja Frete Preço Preço PIX
R$ 479,00
1x de R$ 479,00 R$ 479,00
(Última atualização há 2 h)
Comprar

Ir à loja

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
vannotz · há 9 meses
não é modular
[9] Curtir
Responder",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/M7DF2o/fonte-msi-maga650bn650w
Fonte Corsair CX750 750 W Certificado 80+ Bronze ATX,"R$ 599,90
10x de R$ 59,99","Add na build
Especificações
Fabricante Corsair
Modelo CX750
PN
CP-9020279-BR
CP-9020279
CP-9020279-NA
CP-9020279-EU
CP-9020279-AU
CP-9020279-WW
CP-9020279-UK
Série CX
Tipo ATX
Potência 750 W
Fanless
Modular Não
Certificado de eficiência 80+ Bronze
Eficiência 88 %
Saída
Conectores EPS 1
Conectores SATA 3
Conectores MOLEX 2
Conectores PCI-E de 6 pinos 0
Conectores PCI-E de 6+2 pinos 3
Comprimento 125 mm
Peso
Preços
Loja Frete Preço Preço PIX
R$ 599,90
10x de R$ 59,99 R$ 509,99
Comprar
R$ 599,99
12x de R$ 50,00 R$ 509,99
Comprar

Ir à loja

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://static.meupc.net/produto/fonte-corsair-cx-gY4Y7e-L.jpg,https://meupc.net/peca/74QLuS/fonte-corsair-cx
Fonte Gamemax 600W 600 W Certificado 80+ White ATX12V,"R$ 388,22
12x de R$ 32,35","Add na build
Especificações
Fabricante Gamemax
Modelo 600W
PN
GS600
Série
Tipo ATX12V
Potência 600 W
Fanless
Modular Não
Certificado de eficiência 80+ White
Eficiência 80 %
Saída
Conectores EPS 0
Conectores SATA 4
Conectores MOLEX 4
Conectores PCI-E de 6 pinos 0
Conectores PCI-E de 6+2 pinos 2
Comprimento 150 mm
Peso
Preços
Loja Frete Preço Preço PIX
R$ 388,22
12x de R$ 32,35 R$ 329,99
Comprar
R$ 388,90
1x de R$ 388,90 R$ 388,90
(Última atualização há 2 h)
Comprar

Ir à loja

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
MDAE · há 11 meses
posso confiar ?
[3] Curtir
Responder
trampli · há 7 meses
nunca confie em ninguem na internet
[3] Curtir
Responder",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/cU63BA/fonte-gamemax-600w
Fonte Corsair CX650 650 W Certificado 80+ Bronze ATX,"R$ 516,40
10x de R$ 51,64","Add na build
Especificações
Fabricante Corsair
Modelo CX650
PN
CP-9020278-BR
CP-9020278
CP-9020278-UK
CP-9020278-AU
CP-9020278-WW
CP-9020278-EU
Série CX
Tipo ATX
Potência 650 W
Fanless
Modular Não
Certificado de eficiência 80+ Bronze
Eficiência 88 %
Saída
Conectores EPS 1
Conectores SATA 3
Conectores MOLEX 2
Conectores PCI-E de 6 pinos 0
Conectores PCI-E de 6+2 pinos 2
Comprimento 125 mm
Peso
Preços
Loja Frete Preço Preço PIX
R$ 516,40
10x de R$ 51,64 R$ 438,99
Comprar

Ir à loja

Ir à loja

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/CHxqiP/fonte-corsair-cx
Fonte MSI MAG A600DN 600 W Certificado 80+ ATX,"R$ 363,50
10x de R$ 36,35","Add na build
Especificações
Fabricante MSI
Modelo MAG A600DN
PN
306-7ZP6B22-809
Série
Tipo ATX
Potência 600 W
Fanless
Modular Não
Certificado de eficiência 80+
Eficiência 80 %
Saída
Conectores EPS 0
Conectores SATA 0
Conectores MOLEX 0
Conectores PCI-E de 6 pinos 0
Conectores PCI-E de 6+2 pinos 2
Comprimento 150 mm
Peso
Preços
Loja Frete Preço Preço PIX
R$ 363,50
10x de R$ 36,35 R$ 308,99
Comprar

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
DoughKingJon · há 9 meses
Essa fonte duro quanto tempo com vcs?
[1] Curtir
Responder",https://static.meupc.net/produto/fonte-msi-maga600dn-vY8AV6-L.jpg,https://meupc.net/peca/ix97j5/fonte-msi-maga600dn
Fonte XPG Kyber 850W 850 W Certificado 80+ Gold Semi ATX12V,"R$ 670,50
10x de R$ 67,05","Add na build
Especificações
Fabricante XPG
Modelo Kyber 850W
PN
KYBER850G-BKCBR
Série
Tipo ATX12V
Potência 850 W
Fanless
Modular Semi
Certificado de eficiência 80+ Gold
Eficiência
Saída
Conectores EPS 2
Conectores SATA 6
Conectores MOLEX 2
Conectores PCI-E de 6 pinos 2
Conectores PCI-E de 6+2 pinos 2
Comprimento
Peso
Preços
Loja Frete Preço Preço PIX
R$ 670,50
10x de R$ 67,05 R$ 569,99
Comprar
R$ 699,90
1x de R$ 699,90 R$ 699,90
(Última atualização há 2 h)
Comprar

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
vannotz · há 3 sem.
ele não é modular, nem semi
[1] Curtir
Responder",https://static.meupc.net/produto/fonte-xpg-kyber850w-DH34C9-L.jpg,https://meupc.net/peca/z8vQ3y/fonte-xpg-kyber850w
