nome,preco,especificacoes,imagem,url
Memória Rise Mode Value 8 GB (1x8 GB) DDR3-1600,"R$ 50,58
2x de R$ 25,29","Add na build
Especificações
Fabricante Rise Mode
Modelo Value
PN
RM-D3-8G1600VL
Tipo 240-pin DIMM
Velocidade DDR3-1600
Capacidade 8 GB
Módulo 1 x 8 GB
Cas Latency 11
Timing 11-11-11
Voltagem 1.35 V
Dissipador
ECC
Registrada
Cor Preto
Preços
Loja Frete Preço Preço PIX
R$ 50,58
2x de R$ 25,29 R$ 42,99
Comprar
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/92sqjN/memoria-rise-mode-value-rmd38g1600vl
Memória Kingston Fury Beast 8 GB (1x8 GB) DDR4-3200,"R$ 170,28
6x de R$ 28,38","Add na build
Especificações
Fabricante Kingston
Modelo Fury Beast
PN
KF432C16BB/8
KF432C16BB8
Tipo 288-pin DIMM
Velocidade DDR4-3200
Capacidade 8 GB
Módulo 1 x 8 GB
Cas Latency 16
Timing
Voltagem 1.35 V
Dissipador
ECC
Registrada
Cor Preto
Preços
Loja Frete Preço Preço PIX
R$ 170,28
6x de R$ 28,38 R$ 154,99
Comprar
R$ 188,12
9x de R$ 20,90 R$ 159,90
Comprar
R$ 188,22
12x de R$ 15,69 R$ 159,99
Comprar
R$ 211,00
12x de R$ 17,58 R$ 179,35
Comprar
Grátis R$ 179,99
1x de R$ 179,99 R$ 179,99
Comprar

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Xony_Naw · há 2 anos
Software de Controle RGB Kingston FURY CTRL
[1] Curtir
Responder",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/bnw5Y4/memoria-kingston-fury-beast-kf432c16bb8
Memória Kingston Fury Beast 16 GB (1x16 GB) DDR4-3200,"R$ 317,53
12x de R$ 26,46","Add na build
Especificações
Fabricante Kingston
Modelo Fury Beast
PN
KF432C16BB/16
Tipo 288-pin DIMM
Velocidade DDR4-3200
Capacidade 16 GB
Módulo 1 x 16 GB
Cas Latency 16
Timing 16-20-20
Voltagem 1.35 V
Dissipador
ECC
Registrada
Cor Preto
Preços
Loja Frete Preço Preço PIX
R$ 317,53
12x de R$ 26,46 R$ 269,90
Comprar
Grátis R$ 279,00
1x de R$ 279,00 R$ 279,00
Comprar
R$ 279,99
1x de R$ 279,99 R$ 279,99
(Última atualização há 1 h)
Comprar
R$ 352,93
12x de R$ 29,41 R$ 299,99
Comprar
R$ 364,00
12x de R$ 30,33 R$ 309,40
Comprar
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/mng99J/memoria-kingston-fury-beast-kf432c16bb16
Memória Kingston Fury Beast 16 GB (2x8 GB) DDR4-3200,"R$ 382,24
12x de R$ 31,85","Add na build
Especificações
Fabricante Kingston
Modelo Fury Beast
PN
KF432C16BBK2/16
Tipo 288-pin DIMM
Velocidade DDR4-3200
Capacidade 16 GB
Módulo 2 x 8 GB
Cas Latency 16
Timing 16-18-18
Voltagem 1.35 V
Dissipador
ECC
Registrada
Cor Preto
Preços
Loja Frete Preço Preço PIX
R$ 382,24
12x de R$ 31,85 R$ 324,90
Comprar

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/64gcGS/memoria-kingston-fury-beast-kf432c16bbk216
Memória Kingston Fury Beast RGB 32 GB (2x16 GB) DDR4-3200,"R$ 764,60
10x de R$ 76,46","Add na build
Especificações
Fabricante Kingston
Modelo Fury Beast RGB
PN
KF432C16BB12AK2/32
Tipo 288-pin DIMM
Velocidade DDR4-3200
Capacidade 32 GB
Módulo 2 x 16 GB
Cas Latency 16
Timing 16-20-20
Voltagem 1.35 V
Dissipador
ECC
Registrada
Cor RGB
Preços
Loja Frete Preço Preço PIX
R$ 764,60
10x de R$ 76,46 R$ 649,99
Comprar

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/baQ87e/memoria-kingston-fury-beast-rgb-kf432c16bb12ak232
Memória Corsair Vengeance 32 GB (2x16 GB) DDR5-5200,"R$ 721,00
1x de R$ 721,00","Add na build
Especificações
Fabricante Corsair
Modelo Vengeance
PN
CMK32GX5M2B5200C40
Tipo 288-pin DIMM
Velocidade DDR5-5200
Capacidade 32 GB
Módulo 2 x 16 GB
Cas Latency 40
Timing 40-40-40-77
Voltagem 1.25 V
Dissipador
ECC
Registrada
Cor Preto
Preços
Loja Frete Preço Preço PIX
Grátis R$ 721,00
1x de R$ 721,00 R$ 721,00
Comprar
R$ 764,20
10x de R$ 76,42 R$ 748,99
Comprar
R$ 882,24
12x de R$ 73,52 R$ 749,90
Comprar

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/bnX29r/memoria-corsair-vengeance-cmk32gx5m2b5200c40
Memória Corsair VENGEANCE LPX 32 GB (2x16 GB) DDR4-3200,"R$ 549,40
10x de R$ 54,94","Add na build
Especificações
Fabricante Corsair
Modelo VENGEANCE LPX
PN
CMK32GX4M2E3200C16
Tipo 288-pin DIMM
Velocidade DDR4-3200
Capacidade 32 GB
Módulo 2 x 16 GB
Cas Latency 16
Timing 16-20-20-38
Voltagem 1.35 V
Dissipador
ECC
Registrada
Cor Preto
Preços
Loja Frete Preço Preço PIX
R$ 549,40
10x de R$ 54,94 R$ 466,99
Comprar
R$ 599,99
12x de R$ 50,00 R$ 509,99
Comprar
R$ 535,00
1x de R$ 535,00 R$ 535,00
(Última atualização há 1 h)
Comprar
Grátis R$ 550,00
1x de R$ 550,00 R$ 550,00
Comprar

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/jk55vW/memoria-corsair-vengeance-lpx-cmk32gx4m2e3200c16
Memória Corsair Vengeance 32 GB (2x16 GB) DDR5-6000,"R$ 983,30
10x de R$ 98,33","Add na build
Especificações
Fabricante Corsair
Modelo Vengeance
PN
CMK32GX5M2E6000C36
Tipo 288-pin DIMM
Velocidade DDR5-6000
Capacidade 32 GB
Módulo 2 x 16 GB
Cas Latency 36
Timing 36-44-44-96
Voltagem 1.40 V
Dissipador
ECC
Registrada
Cor Preto
Preços
Loja Frete Preço Preço PIX
R$ 983,30
10x de R$ 98,33 R$ 884,99
Comprar
Grátis R$ 964,16
1x de R$ 964,16 R$ 964,16
Comprar

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://static.meupc.net/produto/memoria-corsair-vengeance-cmk32gx5m2e6000c36-Bbu7L2-L.jpg,https://meupc.net/peca/bR79dI/memoria-corsair-vengeance-cmk32gx5m2e6000c36
Memória Rise Mode RAM Z 8 GB (1x8 GB) DDR4-3200,"R$ 212,90
1x de R$ 212,90","Add na build
Especificações
Fabricante Rise Mode
Modelo RAM Z
PN
RM-D4-8G-3200Z
Tipo 288-pin DIMM
Velocidade DDR4-3200
Capacidade 8 GB
Módulo 1 x 8 GB
Cas Latency 22
Timing 22-22-22
Voltagem 1.20 V
Dissipador
ECC
Registrada
Cor Preto
Preços
Loja Frete Preço Preço PIX
R$ 212,90
1x de R$ 212,90 R$ 212,90
(Última atualização há 1 h)
Comprar

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://static.meupc.net/produto/memoria-rise-mode-ram-z-rmd48g3200z-j2kn3F-L.jpg,https://meupc.net/peca/bS36Dc/memoria-rise-mode-ram-z-rmd48g3200z
Memória Kingston Fury Beast 16 GB (1x16 GB) DDR5-5600,"R$ 359,99
1x de R$ 359,99","Add na build
Especificações
Fabricante Kingston
Modelo Fury Beast
PN
KF556C40BB-16
Tipo 288-pin DIMM
Velocidade DDR5-5600
Capacidade 16 GB
Módulo 1 x 16 GB
Cas Latency 40
Timing 40-40-40
Voltagem 1.25 V
Dissipador
ECC
Registrada
Cor Preto
Preços
Loja Frete Preço Preço PIX
Grátis R$ 359,99
1x de R$ 359,99 R$ 359,99
Comprar
R$ 438,81
12x de R$ 36,57 R$ 372,99
Comprar
R$ 447,00
10x de R$ 44,70 R$ 379,99
Comprar
R$ 482,34
12x de R$ 40,20 R$ 409,99
Comprar
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/48HgwX/memoria-kingston-fury-beast-kf556c40bb16
