nome,preco,especificacoes,imagem,url
Placa de vídeo MSI GeForce RTX 5070 12 GB Shadow 2X,"R$ 5.234,16
12x de R$ 436,18","Add na build
Especificações
Fabricante MSI
Modelo GeForce RTX 5070 12GB
PN
RTX 5070 12G SHADOW 2X OC
GEFORCE RTX 5070 12G SHADOW 2X OC
912-V532-011
Série Shadow 2X
Interface PCI-Express x16
Chipset GeForce RTX 5070
Tipo da memória GDDR7
Tamanho da memória 12 GB
Core Clock 2.6 GHz
Boost Clock
Consumo 250 W
Fanless
Water Cooled
Suporte a Multi-GPU
Comprimento 231 mm
Suporte a Framesync G-Sync (NVidia)
Portas DVI 0
Portas HDMI 1
Portas Mini-HDMI 0
Portas Displayport 3
Portas Mini-Displayport 0
Cor Preto
Cor do LED
Preços
Loja Frete Preço Preço PIX
R$ 5.234,16
12x de R$ 436,18 R$ 4.449,00
cupom MEUPCNET50
Comprar
R$ 5.411,65
12x de R$ 450,97 R$ 4.599,90
Comprar
R$ 5.222,20
10x de R$ 522,22 R$ 4.699,99
Comprar
Grátis R$ 5.199,00
1x de R$ 5.199,00 R$ 5.199,00
Comprar
R$ 6.322,18
1x de R$ 6.322,18 R$ 6.322,18
(Última atualização há 1 h)
Comprar
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/AWRa78/placa-video-msi-geforce-rtx-5070-geforce-rtx-5070-12gb
Placa de vídeo ASRock Radeon RX 6600 8 GB Challenger,"R$ 1.882,24
12x de R$ 156,85","Add na build
Especificações
Fabricante ASRock
Modelo Radeon RX 6600 Challenger D 8GB
PN
RX6600 CLD 8G
90-GA2RZZ-00UANF
Série Challenger
Interface PCI-Express x16
Chipset Radeon RX 6600
Tipo da memória GDDR6
Tamanho da memória 8 GB
Core Clock 1.6 GHz
Boost Clock
Consumo 132 W
Fanless
Water Cooled
Suporte a Multi-GPU
Comprimento 269 mm
Suporte a Framesync FreeSync (AMD)
Portas DVI 0
Portas HDMI 1
Portas Mini-HDMI 0
Portas Displayport 3
Portas Mini-Displayport 0
Cor Preto
Cor do LED
Preços
Loja Frete Preço Preço PIX
R$ 1.882,24
12x de R$ 156,85 R$ 1.599,90
Comprar
R$ 1.684,20
10x de R$ 168,42 R$ 1.599,99
Comprar
R$ 1.882,34
12x de R$ 156,86 R$ 1.599,99
Comprar
R$ 1.646,55
1x de R$ 1.646,55 R$ 1.646,55
Comprar

Ir à loja

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/K6VJ43/placa-video-asrock-radeon-rx-6600-radeonrx6600challengerd8gb
Placa de vídeo Gigabyte Radeon RX 7600 8 GB Gaming,"R$ 1.999,88
12x de R$ 166,66","Add na build
Especificações
Fabricante Gigabyte
Modelo Radeon RX 7600 8GB
PN
GV-R76GAMING OC-8GD
RX 7600 GAMING OC 8G
Radeon RX 7600 GAMING OC 8G
Série Gaming
Interface PCI-Express x16
Chipset Radeon RX 7600
Tipo da memória GDDR6
Tamanho da memória 8 GB
Core Clock 1.7 GHz
Boost Clock 2.8 GHz
Consumo 165 W
Fanless
Water Cooled
Suporte a Multi-GPU
Comprimento 282 mm
Suporte a Framesync FreeSync (AMD)
Portas DVI 0
Portas HDMI 2
Portas Mini-HDMI 0
Portas Displayport 2
Portas Mini-Displayport 0
Cor Preto / Prata
Cor do LED
Preços
Loja Frete Preço Preço PIX
R$ 1.999,88
12x de R$ 166,66 R$ 1.699,90
Comprar
R$ 2.235,10
10x de R$ 223,51 R$ 1.899,90
Comprar
R$ 2.499,90
1x de R$ 2.499,90 R$ 2.499,90
(Última atualização há 1 h)
Comprar

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/n67aPs/placa-video-gigabyte-radeon-rx-7600-radeonrx76008gb
Placa de vídeo GALAX GeForce RTX 4060 8 GB ST 1-Click OC,"R$ 2.764,59
12x de R$ 230,38","Add na build
Especificações
Fabricante GALAX
Modelo GeForce RTX 4060 8GB
PN
46NSL8MD9NXV
Série ST 1-Click OC
Interface PCI-Express x16
Chipset GeForce RTX 4060
Tipo da memória GDDR6
Tamanho da memória 8 GB
Core Clock 2.5 GHz
Boost Clock
Consumo 70 W
Fanless
Water Cooled
Suporte a Multi-GPU
Comprimento 237 mm
Suporte a Framesync G-Sync (NVidia)
Portas DVI 0
Portas HDMI 1
Portas Mini-HDMI 0
Portas Displayport 3
Portas Mini-Displayport 0
Cor Preto / Prata
Cor do LED
Preços
Loja Frete Preço Preço PIX
R$ 2.764,59
12x de R$ 230,38 R$ 2.349,90
Comprar
Grátis R$ 2.753,00
1x de R$ 2.753,00 R$ 2.753,00
Comprar
R$ 2.799,00
1x de R$ 2.799,00 R$ 2.799,00
(Última atualização há 1 h)
Comprar

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Artzin99 · há 6 meses
Esse valor da Shopee e claramento fake
[5] Curtir
Responder
brusna14 · há 7 meses
coloca valores da kabum tbm, ta mais em conta que nos sites acima
[3] Curtir
Responder
davizatta · há 4 sem.
É da Nvidia???
[1] Curtir
Responder",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/SLbJ62/placa-video-galax-geforce-rtx-4060-geforcertx40608gb
Placa de vídeo PCYes Radeon RX 550 4 GB Edge,"R$ 646,90
10x de R$ 64,69","Add na build
Especificações
Fabricante PCYes
Modelo Radeon RX 550 4GB
PN
PVEX5504GBDF
Série Edge
Interface PCI-Express x16
Chipset Radeon RX 550
Tipo da memória GDDR5
Tamanho da memória 4 GB
Core Clock 1.2 GHz
Boost Clock
Consumo
Fanless
Water Cooled
Suporte a Multi-GPU
Comprimento
Suporte a Framesync
Portas DVI 1
Portas HDMI 1
Portas Mini-HDMI 0
Portas Displayport 1
Portas Mini-Displayport 0
Cor Preto
Cor do LED
Preços
Loja Frete Preço Preço PIX
R$ 646,90
10x de R$ 64,69 R$ 549,88
Comprar
R$ 559,99
1x de R$ 559,99 R$ 559,99
(Última atualização há 1 h)
Comprar

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://static.meupc.net/produto/placa-video-pcyes-radeon-rx-550-radeonrx5504gb-toR5b5-L.jpg,https://meupc.net/peca/t2J6Gm/placa-video-pcyes-radeon-rx-550-radeonrx5504gb
Placa de vídeo PCYes Radeon RX 580 8 GB Graffiti Series,,"Add na build
Especificações
Fabricante PCYes
Modelo Radeon RX 580 8GB
PN
PVRX5808GBDF
Série Graffiti Series
Interface PCI-Express x16
Chipset Radeon RX 580
Tipo da memória GDDR5
Tamanho da memória 8 GB
Core Clock 1.3 GHz
Boost Clock
Consumo
Fanless
Water Cooled
Suporte a Multi-GPU
Comprimento
Suporte a Framesync
Portas DVI 1
Portas HDMI 1
Portas Mini-HDMI 0
Portas Displayport 3
Portas Mini-Displayport 0
Cor Preto
Cor do LED
Preços
Nenhum preço registrado.
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/bvIx73/placa-video-pcyes-radeon-rx-580-radeonrx5808gb
Placa de vídeo GALAX GeForce RTX 3060 12 GB Ray Tracing,"R$ 2.499,00
1x de R$ 2.499,00","Add na build
Especificações
Fabricante GALAX
Modelo GeForce RTX 3060 Ray Tracing 12GB
PN
36NOL7MD1VOC
Série Ray Tracing
Interface PCI-Express x16
Chipset GeForce RTX 3060
Tipo da memória GDDR6
Tamanho da memória 12 GB
Core Clock 1.5 GHz
Boost Clock 1.8 GHz
Consumo 200 W
Fanless
Water Cooled
Suporte a Multi-GPU
Comprimento 258 mm
Suporte a Framesync G-Sync (NVidia)
Portas DVI 0
Portas HDMI 1
Portas Mini-HDMI 0
Portas Displayport 3
Portas Mini-Displayport 0
Cor Preto
Cor do LED
Preços
Loja Frete Preço Preço PIX
R$ 2.499,00
1x de R$ 2.499,00 R$ 2.499,00
(Última atualização há 1 h)
Comprar
R$ 3.646,94
12x de R$ 303,91 R$ 3.099,90
Comprar

Ir à loja

Ir à loja

Ir à loja

Ir à loja

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/bsD4u5/placa-video-galax-geforce-rtx-3060-geforcertx3060raytracing12gb
Placa de vídeo ASRock Radeon RX 7600 8 GB Challenger,"R$ 1.999,90
10x de R$ 199,99","Add na build
Especificações
Fabricante ASRock
Modelo Radeon RX 7600 8GB
PN
RX7600 CL 8GO
90-GA41ZZ-00UANF
Série Challenger
Interface PCI-Express x16
Chipset Radeon RX 7600
Tipo da memória GDDR6
Tamanho da memória 8 GB
Core Clock 1.7 GHz
Boost Clock 2.7 GHz
Consumo 165 W
Fanless
Water Cooled
Suporte a Multi-GPU
Comprimento 269 mm
Suporte a Framesync FreeSync (AMD)
Portas DVI 0
Portas HDMI 1
Portas Mini-HDMI 0
Portas Displayport 1
Portas Mini-Displayport 0
Cor Preto
Cor do LED
Preços
Loja Frete Preço Preço PIX
R$ 1.999,90
10x de R$ 199,99 R$ 1.699,99
Comprar
R$ 2.470,00
12x de R$ 205,83 R$ 2.099,50
Comprar

Ir à loja

Ir à loja

Ir à loja

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/bHN2I4/placa-video-asrock-radeon-rx-7600-radeonrx76008gb
Placa de vídeo GALAX GeForce RTX 3050 6 GB EX,"R$ 1.623,41
12x de R$ 135,28","Add na build
Especificações
Fabricante GALAX
Modelo GeForce RTX 3050 6GB
PN
35NRLDHP9OID
Série EX
Interface PCI-Express x16
Chipset GeForce RTX 3050
Tipo da memória GDDR6
Tamanho da memória 6 GB
Core Clock 1.6 GHz
Boost Clock 1.8 GHz
Consumo 130 W
Fanless
Water Cooled
Suporte a Multi-GPU
Comprimento 224 mm
Suporte a Framesync G-Sync (NVidia)
Portas DVI 1
Portas HDMI 1
Portas Mini-HDMI 0
Portas Displayport 1
Portas Mini-Displayport 0
Cor Preto / Prata
Cor do LED
Preços
Loja Frete Preço Preço PIX
R$ 1.623,41
12x de R$ 135,28 R$ 1.379,90
Comprar
R$ 1.682,34
12x de R$ 140,20 R$ 1.429,99
Comprar
Grátis R$ 1.447,00
1x de R$ 1.447,00 R$ 1.447,00
Comprar
R$ 1.449,00
1x de R$ 1.449,00 R$ 1.449,00
(Última atualização há 1 h)
Comprar
R$ 1.611,00
10x de R$ 161,10 R$ 1.449,90
Comprar

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/ya9Gnt/placa-video-galax-geforce-rtx-3050-geforce-rtx-3050-6gb
Placa de vídeo XFX Radeon RX 7600 8 GB Speedster SWFT 210,"R$ 2.615,28
12x de R$ 217,94","Add na build
Especificações
Fabricante XFX
Modelo Radeon RX 7600 8GB
PN
RX-76PSWFTFY
Série Speedster SWFT 210
Interface PCI-Express x16
Chipset Radeon RX 7600
Tipo da memória GDDR6
Tamanho da memória 8 GB
Core Clock 1.9 GHz
Boost Clock 2.7 GHz
Consumo 165 W
Fanless
Water Cooled
Suporte a Multi-GPU
Comprimento 241 mm
Suporte a Framesync FreeSync (AMD)
Portas DVI 0
Portas HDMI 1
Portas Mini-HDMI 0
Portas Displayport 3
Portas Mini-Displayport 0
Cor Preto
Cor do LED
Preços
Loja Frete Preço Preço PIX
R$ 2.615,28
12x de R$ 217,94 R$ 2.222,99
Comprar
R$ 2.285,00
1x de R$ 2.285,00 R$ 2.285,00
(Última atualização há 1 h)
Comprar

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
mad0nna · há 10 meses
melhor q nvidia
[1] Curtir
Responder
vannotz · há 10 meses
Uns 20% mais potente que uma 3060 12GB, uns 10% mais que uma GTX 1080 Ti, mais ou menos a mesma potencia que uma 4060 padrão
[1] Curtir
Responder",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/sPga52/placa-video-xfx-radeon-rx-7600-radeonrx76008gb
