nome,url
AMD Ryzen 7 5700X3D,https://meupc.net/peca/HD68k9/processador-amd-ryzen-7-5700x3d-100100001503wof
AMD Ryzen 5 5500,https://meupc.net/peca/dMww78/processador-amd-ryzen-5-5500-100100000457box
AMD Ryzen 5 5600GT,https://meupc.net/peca/x6I92z/processador-amd-ryzen-5-5600gt-100100001488box
AMD Ryzen 7 5700X,https://meupc.net/peca/GF9m4K/processador-amd-ryzen-7-5700x-100100000926wof
AMD Ryzen 5 5600,https://meupc.net/peca/DPW42M/processador-amd-ryzen-5-5600-100100000927box
AMD Ryzen 7 5700X3D,https://meupc.net/peca/HD68k9/processador-amd-ryzen-7-5700x3d-100100001503wof
AMD Ryzen 7 9800X3D,https://meupc.net/peca/K7D58o/cpu-amd-ryzen-7-9800x3d-100-1000001084wof
AMD Ryzen 5 4500,https://meupc.net/peca/Fs6rE3/processador-amd-ryzen-5-4500-100100000644box
Intel Core i5-12400F,https://meupc.net/peca/PnA64m/processador-intel-core-i5-12400-bx8071512400
AMD Ryzen 5 7600X,https://meupc.net/peca/yHSb86/processador-amd-ryzen-5-7600x-100100000593wof
AMD Ryzen 7 5700G,https://meupc.net/peca/cup77D/processador-amd-ryzen-7-5700g-100100000263box
AMD Ryzen 5 7600,https://meupc.net/peca/b2e5Sd/processador-amd-ryzen-5-7600-100100001015box
AMD Ryzen 5 8600G,https://meupc.net/peca/mT794S/processador-amd-ryzen-5-8600g-100100001237box
AMD Ryzen 5 5600X,https://meupc.net/peca/EZZ329/processador-amd-ryzen-5-5600x-100100000065box
AMD Ryzen 7 7800X3D,https://meupc.net/peca/xRu5B7/processador-amd-ryzen-7-7800x3d-100100000910wof
AMD Ryzen 5 5600G,https://meupc.net/peca/da5cU3/processador-amd-ryzen-5-5600g-100100000252box
AMD Ryzen 3 3200G,https://meupc.net/peca/LejY58/processador-amd-ryzen-3-3200g-36ghz-yd3200c5fhbox
AMD Ryzen 9 9950X3D,https://meupc.net/peca/clcVe7/cpu-amd-ryzen-9-9950x3d-100-100000719wof
AMD Ryzen 5 8500G,https://meupc.net/peca/KH8k39/processador-amd-ryzen-5-8500g-100100000931box
AMD Ryzen 5 4600G,https://meupc.net/peca/t6Fk3G/processador-amd-ryzen-5-4600g-100100000147box
AMD Ryzen 5 9600X,https://meupc.net/peca/zY1gSF/cpu-amd-ryzen-5-9600x-100-100001405wof
AMD Ryzen 7 7700X,https://meupc.net/peca/fV82dH/processador-amd-ryzen-7-7700x-100100000591wof
AMD Ryzen 7 5700,https://meupc.net/peca/eY7oX9/processador-amd-ryzen-7-5700-100000000743box
Intel Core i5-14600KF,https://meupc.net/peca/hFV94D/processador-intel-core-i5-14600kf-bx8071514600kf
