nome,preco,especificacoes,imagem,url
Processador AMD Ryzen 7 5700X3D 3.0 GHz 8-Core,"R$ 1.999,90
10x de R$ 199,99","Add na build
Especificações
Fabricante AMD
Modelo Ryzen 7 5700X3D
PN
100-100001503WOF
100100001503WOF
Ryzen 7 5700X3D
Família Zen 3 Vermeer-X
Arquitetura 64 bit
Socket AM4
Frequência 3.0 GHz
Frequência Turbo 4.1 GHz
Núcleos Turbo 8
Threads 16
Gráficos integrados
L1 Cache
8 x 32 kB Instruction
8 x 32 kB Data
L2 Cache
8 x 512 kB
L3 Cache
1 x 96 MB
Litografia 7 nm
Consumo 105 W
Suporte a ECC
Cooler incluso
Hyperthreading / Multithreading
Virtualização
Preços
Loja Frete Preço Preço PIX
R$ 1.999,90
10x de R$ 199,99 R$ 1.799,99
Comprar
R$ 2.588,22
12x de R$ 215,69 R$ 2.199,99
Comprar

Ir à loja

Ir à loja

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
xLukex · há 6 meses
Qual seria a placa mãe indicada para esse processador?
[1] Curtir
Responder
ruann777 · há 6 meses
qualquer b550
[2] Curtir
Responder
Bmra · há 3 meses
B550m Steel Legend ou Tuf Gaming são as melhores em questão térmica, que aqui no brasil é bom cuidar a não ser que você fique o dia todo no ar de 20000 btu
[1] Curtir
Responder
LucasZ411 · há 5 meses
Alguém sabe se a B550M aorus elite é boa pra esse processador.
[1] Curtir
Responder
Davidluc · há 5 meses
b550M da aorus elite tem apenas estética, muito melhor vc investir um pouco mais em uma placa mãe Asus TUF Gaming B550M-Plus ou uma MSI MPG B550 Gaming Plus por conta da suas dissipação de calor nos VRM.
[6] Curtir
Responder
tkshi00 · há 2 meses
to com uma (MSI MPG B550 Gaming Plus) so esperando aparecer promo desse processador pra comprar
[1] Curtir
Responder",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/HD68k9/processador-amd-ryzen-7-5700x3d-100100001503wof
Processador AMD Ryzen 5 5500 3.6 GHz 6-Core,"R$ 646,94
12x de R$ 53,91","Add na build
Especificações
Fabricante AMD
Modelo Ryzen 5 5500
PN
100-100000457BOX
Família Zen 3 Cezanne
Arquitetura 64 bit
Socket AM4
Frequência 3.6 GHz
Frequência Turbo 4.2 GHz
Núcleos Turbo 6
Threads 12
Gráficos integrados
L1 Cache
6 x 32 kB Instruction
6 x 32 kB Data
L2 Cache
6 x 512 kB
L3 Cache
1 x 16 MB
Litografia 7 nm
Consumo 65 W
Suporte a ECC
Cooler incluso
Hyperthreading / Multithreading
Virtualização
Preços
Loja Frete Preço Preço PIX
R$ 646,94
12x de R$ 53,91 R$ 549,90
Comprar
R$ 611,10
10x de R$ 61,11 R$ 549,99
Comprar
R$ 647,05
12x de R$ 53,92 R$ 549,99
Comprar
Grátis R$ 566,00
1x de R$ 566,00 R$ 566,00
Comprar
R$ 567,90
1x de R$ 567,90 R$ 567,90
(Última atualização há 1 h)
Comprar
R$ 705,00
12x de R$ 58,75 R$ 599,25
Comprar

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
fpdotrem · ano passado
aconselho muito!!!!!!!
[4] Curtir
Responder
mlkluandavila · há 8 meses
Uma ASrock B450M steel legend seria conpativel com esse incrivel processador ?
[3] Curtir
Responder
natannn · há 9 meses
qual placa mãe seria compatível?
[2] Curtir
Responder
hectorlemao · há 8 meses
eu recomendo a a520m-a pro ou uma b550mh
[2] Curtir
Responder",https://static.meupc.net/produto/processador-amd-ryzen-5-5500-100100000457box-t5GYF6-L.jpg,https://meupc.net/peca/dMww78/processador-amd-ryzen-5-5500-100100000457box
Processador AMD Ryzen 5 5600GT 3.6 GHz 6-Core,"R$ 905,76
12x de R$ 75,48","Add na build
Especificações
Fabricante AMD
Modelo Ryzen 5 5600GT
PN
100-100001488BOX
Família Zen 3 Cezanne
Arquitetura 64 bit
Socket AM4
Frequência 3.6 GHz
Frequência Turbo 4.6 GHz
Núcleos Turbo 6
Threads 12
Gráficos integrados Radeon Vega 7
L1 Cache
6 x 32 kB Instruction
6 x 32 kB Data
L2 Cache
6 x 512 kb
L3 Cache
1 x 16 MB
Litografia 7 nm
Consumo 65 W
Suporte a ECC
Cooler incluso
Hyperthreading / Multithreading
Virtualização
Preços
Loja Frete Preço Preço PIX
R$ 905,76
12x de R$ 75,48 R$ 769,90
Comprar
R$ 999,99
12x de R$ 83,33 R$ 849,99
Comprar
R$ 893,00
1x de R$ 893,00 R$ 893,00
Comprar
R$ 999,90
10x de R$ 99,99 R$ 899,99
Comprar

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
M33n · há 8 meses
se baixasse pra 700
[10] Curtir
Responder
fgfsane · há 3 sem.
Eu tbm
[1] Curtir
Responder
rafiqueb · há 4 meses (editado)
é triste ser pobre só ver é não comprar kkkk
[7] Curtir
Responder
fgfsane · há 3 sem.
Eu tô esperando baixar pra pelo menos 750 mais nunca acontece
[1] Curtir
Responder
DaviOliveira09 · ontem
Me fala uma placa mãe pra esse bixao
[1] Curtir
Responder",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/x6I92z/processador-amd-ryzen-5-5600gt-100100001488box
Processador AMD Ryzen 7 5700X 3.4 GHz 8-Core,"R$ 1.193,10
10x de R$ 119,31","Add na build
Especificações
Fabricante AMD
Modelo Ryzen 7 5700X
PN
100-100000926WOF
Ryzen 7 5700X
Família Zen 3 Vermeer
Arquitetura 64 bit
Socket AM4
Frequência 3.4 GHz
Frequência Turbo 4.6 GHz
Núcleos Turbo 8
Threads 16
Gráficos integrados
L1 Cache
8 x 32 kB Instruction
8 x 32 kB Data
L2 Cache
8 x 512 kB
L3 Cache
1 x 32 MB
Litografia 7 nm
Consumo 65 W
Suporte a ECC
Cooler incluso
Hyperthreading / Multithreading
Virtualização
Preços
Loja Frete Preço Preço PIX
R$ 1.193,10
10x de R$ 119,31 R$ 1.049,99
Comprar
R$ 1.058,47
1x de R$ 1.058,47 R$ 1.058,47
(Última atualização há 1 h)
Comprar
R$ 1.317,00
12x de R$ 109,75 R$ 1.119,45
Comprar
R$ 1.179,89
1x de R$ 1.179,89 R$ 1.179,89
Comprar
R$ 1.411,75
12x de R$ 117,65 R$ 1.199,99
Comprar
Grátis R$ 1.285,40
1x de R$ 1.285,40 R$ 1.285,40
Comprar

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
ArthurZussman · há 2 anos
O preço desse processador é 1250 reais. Não compre se ele tiver por 1999 ou 2300 pq é meme das lojas
[11] Curtir
Responder
Gustavooo_ · há 2 anos
vlw
[5] Curtir
Responder
Gustavooo_ · há 2 anos
*explodo o processador*
ele: dboas
*entorta um pino*
ele: infelizmente fui de base amigos.
[10] Curtir
Responder
vini__bessa · há 2 anos
a pichau é uma empresa mto da sacana. acho absurdo os preços inconstantes e as falsas promoções que eles publicam no site. em minha opniao deveria acabar. boa noite...
[3] Curtir
Responder
Gustavooo_ · há 2 anos
de fato, a loja oscila muito nos preços, mas tem vezes que vale muito a pena
[2] Curtir
Responder
Ed_ · ano passado
O processador 1200 do ND 2600 na Kabum oxoxoxox kkk
[2] Curtir
Responder
Teles · ano passado
Alguém sabe se ele vem com pasta térmica?
[1] Curtir
Responder
Gustavooo_ · ano passado
comprei ontem, ent nao sei ainda, mas provavelmente n vem
[1] Curtir
Responder
vannotz · há 11 meses
veio?
[2] Curtir
Responder
SleepingLCZ · ano passado
que placa mae q seria boa pra um desses?
[1] Curtir
Responder
UmaPessoaNormal · ano passado (editado)
Uma B450M da Gigabyte, ela é um bom custo-benefício e entrega um bom resultado. Ela ta custando uns 600 atualmente, mas o preço cai pra 470 em determinadas épocas.
[1] Curtir
Responder
PedroCaliari · há 5 meses
Kabum sobe de 1300 para 2300, pra depois 2600 e coloca um desconto para 1900. Isso no mesmo dia, em questão de horas. Magazine Luiza estragou o site viu.
[1] Curtir
Responder",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/GF9m4K/processador-amd-ryzen-7-5700x-100100000926wof
Processador AMD Ryzen 5 5600 3.5 GHz 6-Core,"R$ 888,12
12x de R$ 74,01","Add na build
Especificações
Fabricante AMD
Modelo Ryzen 5 5600
PN
100-100000927BOX
Família Zen 3 Vermeer
Arquitetura 64 bit
Socket AM4
Frequência 3.5 GHz
Frequência Turbo 4.4 GHz
Núcleos Turbo 6
Threads 12
Gráficos integrados
L1 Cache
6 x 32 kB Instruction
6 x 32 kB Data
L2 Cache
6 x 512 kB
L3 Cache
1 x 32 MB
Litografia 7 nm
Consumo 65 W
Suporte a ECC
Cooler incluso
Hyperthreading / Multithreading
Virtualização
Preços
Loja Frete Preço Preço PIX
R$ 888,12
12x de R$ 74,01 R$ 754,90
Comprar
R$ 888,22
12x de R$ 74,02 R$ 754,99
Comprar
R$ 803,00
1x de R$ 803,00 R$ 803,00
(Última atualização há 1 h)
Comprar
Grátis R$ 888,90
1x de R$ 888,90 R$ 888,90
Comprar
R$ 1.058,00
12x de R$ 88,17 R$ 899,30
Comprar
R$ 999,90
10x de R$ 99,99 R$ 899,99
Comprar
R$ 1.455,60
12x de R$ 121,30 R$ 1.237,24
Comprar
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
vannotz · há 11 meses
Tu pega por 700 essa, se tiver mais que 900 nem vai
[5] Curtir
Responder
myst · há 10 meses
true da true
[1] Curtir
Responder",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/DPW42M/processador-amd-ryzen-5-5600-100100000927box
Processador AMD Ryzen 7 5700X3D 3.0 GHz 8-Core,"R$ 1.999,90
10x de R$ 199,99","Add na build
Especificações
Fabricante AMD
Modelo Ryzen 7 5700X3D
PN
100-100001503WOF
100100001503WOF
Ryzen 7 5700X3D
Família Zen 3 Vermeer-X
Arquitetura 64 bit
Socket AM4
Frequência 3.0 GHz
Frequência Turbo 4.1 GHz
Núcleos Turbo 8
Threads 16
Gráficos integrados
L1 Cache
8 x 32 kB Instruction
8 x 32 kB Data
L2 Cache
8 x 512 kB
L3 Cache
1 x 96 MB
Litografia 7 nm
Consumo 105 W
Suporte a ECC
Cooler incluso
Hyperthreading / Multithreading
Virtualização
Preços
Loja Frete Preço Preço PIX
R$ 1.999,90
10x de R$ 199,99 R$ 1.799,99
Comprar
R$ 2.588,22
12x de R$ 215,69 R$ 2.199,99
Comprar

Ir à loja

Ir à loja

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
xLukex · há 6 meses
Qual seria a placa mãe indicada para esse processador?
[1] Curtir
Responder
ruann777 · há 6 meses
qualquer b550
[2] Curtir
Responder
Bmra · há 3 meses
B550m Steel Legend ou Tuf Gaming são as melhores em questão térmica, que aqui no brasil é bom cuidar a não ser que você fique o dia todo no ar de 20000 btu
[1] Curtir
Responder
LucasZ411 · há 5 meses
Alguém sabe se a B550M aorus elite é boa pra esse processador.
[1] Curtir
Responder
Davidluc · há 5 meses
b550M da aorus elite tem apenas estética, muito melhor vc investir um pouco mais em uma placa mãe Asus TUF Gaming B550M-Plus ou uma MSI MPG B550 Gaming Plus por conta da suas dissipação de calor nos VRM.
[6] Curtir
Responder
tkshi00 · há 2 meses
to com uma (MSI MPG B550 Gaming Plus) so esperando aparecer promo desse processador pra comprar
[1] Curtir
Responder",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/HD68k9/processador-amd-ryzen-7-5700x3d-100100001503wof
Processador AMD Ryzen 7 9800X3D 4.7 GHz 8-Core,"R$ 3.235,28
12x de R$ 269,61","Add na build
Especificações
Fabricante AMD
Modelo Ryzen 7 9800X3D
PN
100-1000001084WOF
AMD Ryzen 7 9800X3D
100-100001084WOF
Família Granite Ridge
Arquitetura
Socket AM5
Frequência 4.7 GHz
Frequência Turbo 5.2 GHz
Núcleos Turbo 8
Threads 16
Gráficos integrados Radeon
L1 Cache
L2 Cache
8 MB
L3 Cache
96 MB
Litografia 4 nm
Consumo 120 W
Suporte a ECC
Cooler incluso
Hyperthreading / Multithreading
Virtualização
Preços
Loja Frete Preço Preço PIX
R$ 3.235,28
12x de R$ 269,61 R$ 2.749,99
Comprar
R$ 3.222,20
10x de R$ 322,22 R$ 2.899,99
Comprar
R$ 3.411,75
12x de R$ 284,31 R$ 2.899,99
Comprar
R$ 3.528,24
12x de R$ 294,02 R$ 2.999,00
cupom MEUPCNET50
Comprar
R$ 3.249,90
1x de R$ 3.249,90 R$ 3.249,90
(Última atualização há 1 h)
Comprar
R$ 3.500,01
1x de R$ 3.500,01 R$ 3.500,01
Comprar
R$ 4.352,00
12x de R$ 362,67 R$ 3.699,20
Comprar

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/K7D58o/cpu-amd-ryzen-7-9800x3d-100-1000001084wof
Processador AMD Ryzen 5 4500 3.6 GHz 6-Core,"R$ 482,34
12x de R$ 40,20","Add na build
Especificações
Fabricante AMD
Modelo Ryzen 5 4500
PN
100-100000644BOX
AMD Ryzen 5 4500
Família Zen 2 Renoir-X
Arquitetura 64 bit
Socket AM4
Frequência 3.6 GHz
Frequência Turbo 4.1 GHz
Núcleos Turbo 6
Threads 12
Gráficos integrados
L1 Cache
6 x 32 kB Instruction
6 x 32 kB Data
L2 Cache
6 x 512 kB
L3 Cache
1 x 8 MB
Litografia 7 nm
Consumo 65 W
Suporte a ECC
Cooler incluso
Hyperthreading / Multithreading
Virtualização
Preços
Loja Frete Preço Preço PIX
R$ 482,34
12x de R$ 40,20 R$ 409,99
Comprar
R$ 511,30
10x de R$ 51,13 R$ 449,99
Comprar
R$ 588,12
12x de R$ 49,01 R$ 499,90
Comprar
Grátis R$ 499,99
1x de R$ 499,99 R$ 499,99
Comprar
R$ 503,91
1x de R$ 503,91 R$ 503,91
Comprar
R$ 635,00
12x de R$ 52,92 R$ 539,75
Comprar
R$ 549,90
1x de R$ 549,90 R$ 549,90
(Última atualização há 1 h)
Comprar

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://static.meupc.net/produto/processador-amd-ryzen-5-4500-100100000644box-fY4t4h-L.jpg,https://meupc.net/peca/Fs6rE3/processador-amd-ryzen-5-4500-100100000644box
Processador Intel Core i5-12400F 2.5 GHz 6-Core,"R$ 733,50
1x de R$ 733,50","Add na build
Especificações
Fabricante Intel
Modelo Core i5-12400F
PN
BX8071512400F
Família Alder lake
Arquitetura 64 bit
Socket LGA 1700
Frequência 2.5 GHz
Frequência Turbo 4.4 GHz
Núcleos Turbo 6
Threads 12
Gráficos integrados
L1 Cache
6 x 32 kB Instruction
6 x 48 kB Data
L2 Cache
6 x 1.25 MB
L3 Cache
1 x 18 MB
Litografia 10 nm
Consumo 65 W
Suporte a ECC
Cooler incluso
Hyperthreading / Multithreading
Virtualização
Preços
Loja Frete Preço Preço PIX
R$ 733,50
1x de R$ 733,50 R$ 733,50
Comprar
R$ 840,90
10x de R$ 84,09 R$ 739,99
Comprar
R$ 870,58
12x de R$ 72,55 R$ 739,99
Comprar
R$ 870,58
12x de R$ 72,55 R$ 739,99
Comprar
R$ 999,00
12x de R$ 83,25 R$ 849,15
Comprar
R$ 884,00
1x de R$ 884,00 R$ 884,00
(Última atualização há 1 h)
Comprar

Ir à loja

Ir à loja
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://static.meupc.net/produto/processador-intel-core-i5-12400-bx8071512400-vC7tE9-L.jpg,https://meupc.net/peca/PnA64m/processador-intel-core-i5-12400-bx8071512400
Processador AMD Ryzen 5 7600X 4.7 GHz 6-Core,"R$ 1.647,05
12x de R$ 137,25","Add na build
Especificações
Fabricante AMD
Modelo Ryzen 5 7600X
PN
100-100000593WOF
Família Zen 4 Raphael
Arquitetura 64 bit
Socket AM5
Frequência 4.7 GHz
Frequência Turbo 5.3 GHz
Núcleos Turbo 6
Threads 12
Gráficos integrados Radeon
L1 Cache
6 x 32 kB Instruction
6 x 32 kB Data
L2 Cache
6 x 1 MB
L3 Cache
1 x 32 MB
Litografia 5 nm
Consumo 105 W
Suporte a ECC
Cooler incluso
Hyperthreading / Multithreading
Virtualização
Preços
Loja Frete Preço Preço PIX
R$ 1.647,05
12x de R$ 137,25 R$ 1.399,99
Comprar
R$ 1.409,90
1x de R$ 1.409,90 R$ 1.409,90
Comprar
R$ 1.461,00
1x de R$ 1.461,00 R$ 1.461,00
(Última atualização há 1 h)
Comprar
R$ 1.777,70
10x de R$ 177,77 R$ 1.599,99
Comprar
Grátis R$ 1.668,00
1x de R$ 1.668,00 R$ 1.668,00
Comprar
R$ 2.470,47
12x de R$ 205,87 R$ 2.099,90
Comprar
* Os preços e a disponibilidade dos produtos estão corretos na data/horário indicados e poderão sofrer alterações. Quaisquer informações de preço e disponibilidade exibidas na Amazon.com.br no momento da compra serão aplicáveis à compra desse produto.
* Podemos receber comissões por compras feitas em lojas participantes vinculadas neste site. Estas comissões não afetam os produtos ou preços exibidos, nem a ordem dos preços listados. Saiba mais aqui.
Está caro? Nós te avisamos quando baixar
Quanto gostaria de pagar? (preço PIX)
R$
Criar alerta
* Não enviamos nenhum alerta de preço para produtos da Amazon.
Histórico de preços
* Os preços da Amazon não estão incluídos no gráfico de histórico de preços.
Comentários
Comentar
Nenhum comentário ainda, seja o primeiro!",https://meupc.net/images/publi/enifler-970x90.png?v=469876829220386552,https://meupc.net/peca/yHSb86/processador-amd-ryzen-5-7600x-100100000593wof
